tokenID,name,file_name,description,attributes[Type],attributes[Civilization Tier],attributes[Atmosphere],attributes[Orbital Belt],attributes[Tier],external_url
1,A'am 115,Aam_115.png,"A'am 115 drifts in silent patterns, softly lit by starlight. Covered by striking, alien protruding formations. Encircled by majestic rings of dust and debris. A multitude of moons orbit, silently accompanying this world. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Protrusion,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
2,Abchania Two,Abchania_Two.png,"Abchania Two stands beneath distant suns, patient and unhurried. A rough, craggy planetary landscape dominates this world. Cosmic dust and ice form a breathtaking ring system. Moons quietly circle this world, adding intrigue to its appearance. Orbital stations and advanced infrastructure proclaim a civilization of cosmic reach.",Rough,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
3,Abdikar Planeryn Major,Abdikar_Planeryn_Major.png,"Abdikar Planeryn Major orbits among the stars, a small part of the cosmic sea. A rough, craggy planetary landscape dominates this world. Drifting asteroids form a dense orbital belt around this planet. Moons quietly circle this world, adding intrigue to its appearance. Nature reigns supreme, unchallenged by intelligent life.",Rough,Uninhabited,,Asteroids,Common,https://thonbo.com/uniworlds-nft
4,Ablok 274,Ablok_274.png,"Ablok 274 orbits among the stars, a small part of the cosmic sea. Planet in mid-explosion, its pieces drifting outward. Moons quietly circle this world, adding intrigue to its appearance. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Exploding,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
5,Abrax e1,Abrax_e1.png,"Abrax e1 floats in the dark sky, calm and faintly shining. Barren, flat planet scarred by endless craters. Several moons orbit this planet, silent companions on its cosmic journey. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Flat,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
6,Abvin Alpha,Abvin_Alpha.png,"Abvin Alpha stands beneath distant suns, patient and unhurried. Rocky terrain covers this rugged celestial body. Beautiful celestial rings encircle the planet. Moons gracefully orbit, enhancing the planet's cosmic presence. Satellites and engineering feats encircle the planet, testaments to scientific progress.",Rough,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
7,AE-o 2,AE-o_2.png,"AE-o 2 glides through the heavens, steady and quiet. A lifeless, flat celestial surface, scarred by craters. Drifting asteroids form a dense orbital belt around this planet. A multitude of moons orbit, silently accompanying this world. Satellites and engineering feats encircle the planet, testaments to scientific progress.",Flat,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
8,AE-o 20,AE-o_20.png,"AE-o 20 glides through the heavens, steady and quiet. An Earthlike world of remarkable natural beauty. A thick veil of clouds surrounds this planet. Moons quietly revolve, adding mystery to this planet. Primitive customs and traditions linger in half-buried relics.",Earthlike,Primitive,Clouds,,Common,https://thonbo.com/uniworlds-nft
9,AEaka Patudros,AEaka_Patudros.png,"AEaka Patudros drifts in silent patterns, softly lit by starlight. Cold, silent, and devoid of any signs of life. Surrounded by a dense field of drifting asteroids. Several moons orbit this planet, silent companions on its cosmic journey. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Dead,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
10,AEanella Amudros 72,AEanella_Amudros_72.png,"AEanella Amudros 72 floats in the dark sky, calm and faintly shining. A planet rich with terrestrial charm, oceans, and continents. Shrouded in thick atmospheric clouds. Several moons orbit this planet, silent companions on its cosmic journey. This world thrives under the watchful eyes of a spacefaring culture.",Earthlike,Spacefaring,Clouds,,Common,https://thonbo.com/uniworlds-nft
